,genero,ccp,arte
0,mulher,ilha,rec
1,mulher,ilha,rec
1,mulher,ilha,tarrafa
2,mulher,ilha,rec
2,mulher,ilha,tarrafa
3,mulher,ilha,rec
3,mulher,ilha,tarrafa
4,mulher,ilha,tarrafa
4,mulher,ilha,rec
5,homen,ilha,gamboa
6,homen,ilha,tarrafa
7,homen,ilha,tarrafa
7,homen,ilha,rede_emalhar
8,homen,kuguana,gamboa
9,homen,kuguana,rede_arrasto
10,homen,kuguana,rede_arrasto
11,homen,kuguana,rede_emalhar
12,homen,kuguana,rede_emalhar
13,homen,kuguana,rede_arrasto
13,homen,kuguana,gamboa
14,mulher,kuguana,rec
14,mulher,kuguana,gamboa
15,homen,kuguana,rede_arrasto
16,mulher,kuguana,rede_arrasto
17,homen,kuguana,rede_arrasto
18,homen,kuguana,rede_emalhar
19,mulher,kuguana,rede_arrasto
20,mulher,kuguana,rec
21,mulher,kuguana,rede_arrasto
22,mulher,kuguana,rec
23,mulher,kuguana,rede_arrasto
24,homen,madava,rede_emalhar
25,homen,madava,gamboa
26,mulher,madava,tarrafa
27,mulher,madava,tarrafa
28,homen,madava,gamboa
29,mulher,madava,gamboa
30,mulher,madava,gamboa
30,mulher,madava,rede_emalhar
31,homen,madava,gamboa
31,homen,madava,rede_emalhar
32,homen,madava,rede_emalhar
33,mulher,madava,tarrafa
33,mulher,madava,gamboa
34,homen,madava,gamboa
35,mulher,madava,gamboa
35,mulher,madava,tarrafa
36,mulher,madava,gamboa
37,homen,madava,rede_emalhar
38,mulher,madava,gamboa
39,homen,madava,gamboa
40,homen,madava,gamboa
40,homen,madava,tarrafa
41,homen,madava,gamboa
41,homen,madava,tarrafa
42,homen,madava,gamboa
42,homen,madava,rede_emalhar
43,homen,madava,gamboa
44,homen,madava,gamboa
45,homen,madava,rede_emalhar
46,mulher,madava,rec
46,mulher,madava,tarrafa
47,mulher,madava,gamboa
47,mulher,madava,tarrafa
48,homen,madava,rede_emalhar
48,homen,madava,gamboa
49,homen,kuguana,giola
50,homen,kuguana,gamboa
51,homen,kuguana,gamboa
52,mulher,kuguana,gamboa
53,homen,kuguana,gamboa
54,homen,kuguana,rede_emalhar
55,homen,kuguana,tarrafa
55,homen,kuguana,gamboa
56,mulher,kuguana,rec
57,mulher,kuguana,tarrafa
57,mulher,kuguana,gamboa
58,homen,kuguana,gamboa
59,homen,kuguana,rede_arrasto
59,homen,kuguana,gamboa
60,homen,kuguana,gamboa
60,homen,kuguana,rede_emalhar
60,homen,kuguana,rede_arrasto
61,mulher,kuguana,rede_arrasto
62,mulher,kuguana,gamboa
63,mulher,kuguana,gamboa
64,homen,kuguana,rede_emalhar
65,mulher,kuguana,gamboa
65,mulher,kuguana,rede_emalhar
66,mulher,kuguana,rec
67,homen,kuguana,gamboa
68,mulher,kuguana,tarrafa
69,mulher,kuguana,rede_arrasto
70,mulher,marrambone,gamboa
70,mulher,marrambone,tarrafa
71,mulher,marrambone,tarrafa
71,mulher,marrambone,rec
72,homen,marrambone,gamboa
72,homen,marrambone,tarrafa
72,homen,marrambone,giola
73,mulher,marrambone,tarrafa
73,mulher,marrambone,rede_emalhar
74,homen,marrambone,giola
74,homen,marrambone,tarrafa
75,homen,marrambone,giola
76,homen,marrambone,giola
77,mulher,marrambone,rec
78,homen,madava,rede_emalhar
79,homen,madava,gamboa
80,homen,madava,rede_emalhar
81,homen,madava,rede_cerco
82,mulher,madava,rec
82,mulher,madava,tarrafa
83,homen,madava,rede_emalhar
84,mulher,madava,rec
84,mulher,madava,tarrafa
85,mulher,madava,rec
85,mulher,madava,tarrafa
86,mulher,madava,rec
87,mulher,madava,tarrafa
88,mulher,madava,tarrafa
89,homen,madava,rede_emalhar
90,mulher,madava,tarrafa
91,mulher,madava,rec
92,mulher,madava,tarrafa
93,mulher,madava,tarrafa
94,mulher,madava,tarrafa
94,mulher,madava,rec
95,mulher,madava,tarrafa
95,mulher,madava,rec
96,homen,madava,rede_emalhar
97,homen,madava,rede_arrasto
98,homen,madava,rede_emalhar
99,homen,madava,rede_emalhar
100,homen,madava,rede_emalhar
101,homen,madava,rede_emalhar
102,homen,madava,rede_emalhar
103,homen,chamane,linha
104,homen,chamane,mergulho
105,homen,chamane,rec
106,homen,chamane,mergulho
107,mulher,chamane,rec
108,homen,chamane,gamboa
108,homen,chamane,rede_emalhar
109,mulher,chamane,rec
109,mulher,chamane,tarrafa
110,mulher,chamane,rec
110,mulher,chamane,tarrafa
111,mulher,chamane,rec
111,mulher,chamane,tarrafa
112,mulher,chamane,rec
113,homen,chamane,linha
114,mulher,chamane,rec
115,mulher,chamane,tarrafa
116,homen,chamane,rec
117,homen,chamane,tarrafa
117,homen,chamane,rec
117,homen,chamane,linha
118,mulher,chamane,rec
119,mulher,chamane,rec
119,mulher,chamane,tarrafa
120,homen,chamane,linha
121,mulher,chamane,rede_emalhar
121,mulher,chamane,rec
121,mulher,chamane,tarrafa
122,homen,chamane,gamboa
123,homen,chamane,linha
124,homen,chamane,gamboa
125,homen,morrumbene,rede_arrasto
125,homen,morrumbene,tarrafa
126,homen,morrumbene,rede_arrasto
126,homen,morrumbene,linha
127,mulher,morrumbene,rec
127,mulher,morrumbene,tarrafa
128,mulher,morrumbene,rec
129,homen,morrumbene,tarrafa
129,homen,morrumbene,gamboa
129,homen,morrumbene,rede_emalhar
130,mulher,morrumbene,rede_emalhar
130,mulher,morrumbene,tarrafa
131,homen,morrumbene,rec
132,mulher,morrumbene,rec
133,mulher,morrumbene,rec
134,mulher,morrumbene,rec
135,mulher,morrumbene,rec
137,mulher,morrumbene,tarrafa
137,mulher,morrumbene,rec
138,mulher,morrumbene,rec
139,mulher,morrumbene,rec
140,mulher,morrumbene,rec
141,homen,morrumbene,linha
142,homen,morrumbene,gamboa
143,homen,morrumbene,linha
143,homen,morrumbene,rec
144,homen,morrumbene,rec
145,homen,morrumbene,rede_emalhar
146,mulher,chamane,rec
147,homen,morrumbene,gamboa
148,mulher,morrumbene,rec
149,homen,morrumbene,gamboa
149,homen,morrumbene,tarrafa
150,mulher,morrumbene,rec
151,homen,morrumbene,gamboa
152,mulher,morrumbene,rec
153,mulher,morrumbene,rec
154,homen,morrumbene,gamboa
155,mulher,morrumbene,tarrafa
155,mulher,morrumbene,rec
156,homen,morrumbene,giola
157,mulher,morrumbene,rec
158,homen,morrumbene,gamboa
159,homen,morrumbene,gamboa
160,homen,morrumbene,rede_arrasto
161,homen,morrumbene,rede_arrasto
162,homen,morrumbene,rede_arrasto
163,mulher,morrumbene,rec
163,mulher,morrumbene,tarrafa
164,mulher,morrumbene,rec
165,mulher,morrumbene,rec
166,homen,morrumbene,rede_arrasto
167,homen,sahane,linha
168,homen,sahane,linha
169,homen,sahane,linha
170,homen,sahane,gamboa
171,homen,sahane,giola
172,mulher,sahane,rec
173,mulher,sahane,rec
174,mulher,sahane,rec
175,mulher,sahane,rec
176,homen,nhamaxaxa,rede_arrasto
176,homen,nhamaxaxa,rec
177,homen,sahane,rede_emalhar
178,mulher,sahane,rec
179,homen,nhamaxaxa,rede_emalhar
180,homen,nhamaxaxa,rede_arrasto
181,homen,nhamaxaxa,linha
182,homen,chamane,linha
183,mulher,chamane,tarrafa
183,mulher,chamane,rede_emalhar
184,mulher,chamane,rec
184,mulher,chamane,rede_emalhar
185,homen,chamane,rec
185,homen,chamane,tarrafa
186,mulher,chamane,rec
187,mulher,chamane,rec
187,mulher,chamane,tarrafa
188,mulher,chamane,rec
188,mulher,chamane,tarrafa
189,mulher,chamane,rec
189,mulher,chamane,tarrafa
190,mulher,chamane,rec
191,mulher,chamane,rec
192,mulher,chamane,rec
192,mulher,chamane,tarrafa
193,homen,chamane,rede_emalhar
194,homen,chamane,rede_emalhar
194,homen,chamane,rec
195,homen,mucucune,gamboa
196,homen,mucucune,gamboa
197,homen,mucucune,gamboa
198,mulher,mucucune,tarrafa
198,mulher,mucucune,rec
199,mulher,mucucune,tarrafa
200,homen,mucucune,gamboa
201,homen,mucucune,giola
202,homen,marrambone,linha
203,homen,marrambone,linha
204,homen,marrambone,linha
205,homen,muele,linha
206,homen,mucucune,linha
207,homen,marrambone,rec
207,homen,marrambone,tarrafa
208,mulher,morrumbene,rec
209,mulher,mucucune,rec
209,mulher,mucucune,tarrafa
210,mulher,mucucune,rec
211,mulher,mucucune,tarrafa
211,mulher,mucucune,rec
212,mulher,mucucune,tarrafa
212,mulher,mucucune,rec
213,homen,nhamua,gamboa
214,homen,nhamua,gamboa
214,homen,nhamua,rec
215,homen,nhamua,gamboa
216,homen,nhamua,gamboa
216,homen,nhamua,tarrafa
