,name,ccp,1,2,3,4,5,6,7,8,9,total_count,score,score_prop,practica
0,dzindrolo,chamane,14.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,21.0,171.0,20.188902007083826,apanhadores
1,dzisolo,chamane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.9445100354191263,apanhadores
2,gihologo,chamane,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,2.479338842975207,apanhadores
3,gingave,chamane,0.0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,11.0,63.0,7.43801652892562,apanhadores
4,giredenene,chamane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.9445100354191263,apanhadores
5,makolo,chamane,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,46.0,5.430932703659976,apanhadores
6,mapalo,chamane,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,19.0,2.2432113341204247,apanhadores
7,marengue,chamane,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,18.0,2.125147579693034,apanhadores
8,masaba,chamane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.062573789846517,apanhadores
9,matewo,chamane,2.0,3.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,16.0,109.0,12.868949232585598,apanhadores
10,mavandzi,chamane,7.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,16.0,115.0,13.57733175914994,apanhadores
11,mitifa,chamane,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,7.0,0.8264462809917356,apanhadores
12,mwahaha,chamane,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.4167650531286895,apanhadores
13,nhamuele,chamane,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,32.0,3.778040141676505,apanhadores
14,nhamunhe,chamane,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,27.0,3.187721369539551,apanhadores
15,nhanguedwa,chamane,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,1.4167650531286895,apanhadores
16,nhasastani,chamane,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0070838252656436,apanhadores
17,nhatogue,chamane,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,1.5348288075560803,apanhadores
