,ObjectID,GlobalID,consent,genero,bairro,bairro_outro,is_fisher,arte,arte_outra,arte_princip,familia_pesc,switch,familia_groupos,familia_artes_count,prod,prod_outra,prod_count,prod_list,prod_ordered,CreationDate,Creator,EditDate,Editor,Apontamentos,ccp,x,y,gleaner,fisher
0,1,5ab8072d-6db5-41f4-af2c-1347abe1b49a,sim,mulher,ilha_grande,,sim,rec,,rec,sim,,meninas,1,"50_dzindrolo,66_mahoma,63_nhamunhe,61_mapalo_mavalo",,4,"50_dzindrolo,66_mahoma,63_nhamunhe,61_mapalo_mavalo",,9/8/2022 8:40:35 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,35.43290758,-23.79679918,yes,no
1,2,5fb0ef1d-ed51-47e8-b28d-818afb0d33c7,sim,mulher,ilha_grande,,sim,"rec,tarrafa",,"rec,tarrafa",nao,,,0,"60_matewo,56_mavandzi",,2,"60_matewo,56_mavandzi",,9/8/2022 8:57:04 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,35.4338892,-23.79762835,yes,no
2,3,bdba018c-829a-4f2a-ad07-bd1105b7bbaa,sim,mulher,ilha_grande,,sim,"rec,tarrafa",,"rec,tarrafa",sim,,homens_adultos,1,"2_mavionho,1_mihili,6_sigulula,8_tendre,5_dzipata,61_mapalo_mavalo,60_matewo,56_mavandzi",,8,"2_mavionho,1_mihili,6_sigulula,8_tendre,5_dzipata,61_mapalo_mavalo,60_matewo,56_mavandzi","56_mavandzi,61_mapalo_mavalo,5_dzipata,2_mavionho,1_mihili,6_sigulula,8_tendre,60_matewo",9/8/2022 9:11:20 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,35.43385512,-23.79750095,yes,no
3,4,79b635bd-aa13-43e8-9019-7ef2587a14ea,sim,mulher,ilha_grande,,sim,"rec,tarrafa",,"tarrafa,rec",sim,,homens_adultos,1,"60_matewo,61_mapalo_mavalo,56_mavandzi,1_mihili,6_sigulula,2_mavionho",,6,"60_matewo,61_mapalo_mavalo,56_mavandzi,1_mihili,6_sigulula,2_mavionho","61_mapalo_mavalo,56_mavandzi,60_matewo,2_mavionho,1_mihili,6_sigulula",9/10/2022 10:14:40 AM,rthoms_wri,10/17/2022 3:27:41 PM,rthoms_wri,,ilha,35.43384503,-23.79751344,yes,no
4,5,09581cdd-fddf-4568-89af-9a2db7e90d8d,sim,mulher,ilha_pequena,,sim,"tarrafa,rec",,"tarrafa,rec",nao,,,0,"56_mavandzi,50_dzindrolo,60_matewo,63_nhamunhe,outra",dzindanz,5,"56_mavandzi,50_dzindrolo,60_matewo,63_nhamunhe,outra","56_mavandzi,50_dzindrolo,60_matewo,63_nhamunhe,outra",9/10/2022 10:14:42 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,35.4328328,-23.79591483,yes,no
5,6,f99f4c30-e0ef-4eaf-9732-e6981d6a358e,sim,homen,ilha_grande,,sim,gamboa,,gamboa,sim,,"mulheres_adultos,meninas",2,"56_mavandzi,60_matewo,61_mapalo_mavalo,3_salani,8_tendre,1_mihili,28_nharonge, 2_mavionho",,8,"56_mavandzi,60_matewo,61_mapalo_mavalo,3_salani,8_tendre,1_mihili,28_nharonge, 2_mavionho","56_mavandzi,2_mavionho,3_salani,8_tendre,1_mihili,28_nharonge,61_mapalo_mavalo,60_matewo",9/10/2022 10:14:44 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,0.0,0.0,no,yes
6,7,ec71bfa0-fca7-4f52-acf7-f5c3c8659193,sim,homen,ilha_grande,,sim,tarrafa,,tarrafa,sim,,mulheres_adultos,1,"61_mapalo_mavalo,60_matewo,56_mavandzi",,3,"61_mapalo_mavalo,60_matewo,56_mavandzi","56_mavandzi,61_mapalo_mavalo,60_matewo",9/10/2022 10:24:55 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,ilha,0.0,0.0,no,yes
7,8,9c5e5d9a-d08c-44aa-9063-3377245d93b9,sim,homen,ilha_grande,,sim,"tarrafa,rede_emalhar",,"rede_emalhar,tarrafa",sim,,mulheres_adultos,1,"56_mavandzi,50_dzindrolo,17_sololo,5_dzipata,2_mavionho,3_salani,1_mihili",,7,"56_mavandzi,50_dzindrolo,17_sololo,5_dzipata,2_mavionho,3_salani,1_mihili","1_mihili,3_salani,50_dzindrolo,2_mavionho,5_dzipata,56_mavandzi,17_sololo",9/10/2022 10:33:43 AM,rthoms_wri,10/17/2022 3:29:58 PM,rthoms_wri,,ilha,0.0,0.0,no,yes
8,9,775dea09-5f98-4599-850e-75316e3e85e9,sim,homen,kuguana,,sim,gamboa,,gamboa,sim,,"homens_adultos,mulheres_adultos",2,"56_mavandzi,52_gihologo,50_dzindrolo,1_mihili,19_mifiti",,5,"56_mavandzi,52_gihologo,50_dzindrolo,1_mihili,19_mifiti","56_mavandzi,1_mihili,19_mifiti,50_dzindrolo,52_gihologo",9/20/2022 8:33:51 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,kuguana,35.33232052,-23.98301004,no,yes
9,10,4520a532-0f67-48ea-8bbe-8572cb38fa14,sim,homen,guiteve,guiteve,sim,rede_arrasto,,rede_arrasto,sim,,,0,"55_gudua,56_mavandzi,3_salani,5_dzipata,13_magumba,1_mihili",,6,"55_gudua,56_mavandzi,3_salani,5_dzipata,13_magumba,1_mihili","55_gudua,56_mavandzi,13_magumba,1_mihili,3_salani,5_dzipata",9/20/2022 8:33:53 AM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,kuguana,35.33230601,-23.98299843,no,yes
